,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
766,BlackSoil,FinTech,Venture - Series Unknown,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2016.0,Ankur Bansal,,2020
767,Biocon,HealthTech,Venture - Series Unknown,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",1978.0,Kiran Mazumdar-Shaw,Goldman Sachs,2020
768,Clientjoy,Tech,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2013.0,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",2020
769,Xpressbees,E-Commerce,Venture - Series Unknown,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2015.0,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",2020
770,GalaxyCard,FinTech,Seed,,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2017.0,"Amit Kumar, Gunjeet Singh",India Accelerator,2020
771,Wellness Forever,HealthTech,Venture - Series Unknown,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2008.0,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",2020
772,MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2019.0,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",2020
773,BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020.0,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2020
774,Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",2020
775,Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2020
776,Kirana King,Retail,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2014.0,Anup Kumar,Rajasthan Venture Capital Fund,2020
777,Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",,"Punweet Singh, Shuchir Suri",,2020
778,iKure,HealthTech,Venture - Series Unknown,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2010.0,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",2020
779,FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",2020
780,Reliance Retail,E-Commerce,Venture - Series Unknown,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2006.0,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",2020
781,TUBBR,Media,Venture - Series Unknown,,"Frisco, Texas, United States",World's First Personal Social Network,2019.0,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,2020
782,Ather Energy,Automobiles,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,2020
783,Routematic,Tech,Venture - Series Unknown,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2007.0,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2020
784,LivFin,FinTech,Venture - Series Unknown,4700000.0,Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2017.0,Rakesh Malhotra,"DEG, KFW DEG",2020
785,Universal Sportsbiz Pvt Ltd,Fashion startup,Venture - Series Unknown,,Bangalore,A fashion startup based in Bengaluru.,2012.0,Anjana Reddy,"Accel, Alteria Capital",2020
786,Lattu Kids,EdTech,Venture - Series Unknown,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2017.0,Vivek Bhutyani,Mumbai Angels Network,2020
787,Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",2020
788,Steradian Semiconductors,Deeptech,Venture - Series Unknown,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,2020
789,CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2018.0,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,2020
790,Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2008.0,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2020
791,Udacity,EdTech,Debt Financing,75000000.0,Outside India,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",2020
792,AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",2020
793,Gully Network,E-Commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2019.0,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",2020
